ID|KEY|English|Telugu|Hindi|Tamil|Kannada|Malayalam|Bengali|Marathi|Gujarati|Punjabi|Odia|Assamese|Urdu|Sanskrit|Nepali|Konkani|Manipuri|Bodo|Dogri|Santali|Kashmiri|Sindhi
1|settings|Settings|అమరికలు|सेटिंग्स|அமைப்புகள்|ಸೆಟ್ಟಿಂಗ್‌ಗಳು|ക്രമീകരണങ്ങൾ|সেটিংস|सेटिंग्ज|સેટિંગ્સ|ਸੈਟਿੰਗਾਂ|ସେଟିଂସ୍|ছেটিংছ|سیٹنگز|सेटिङ्गानि|सेटिङहरू|सेटिंग्स|ꯁꯦꯇꯤꯡꯁꯤꯡ|सेटिङ|सेटिंग्स|ᱥᱮᱴᱤᱝᱥ|سیٹنگز|سيٽنگون
2|profile|Profile|||||||||||||||||||||
3|sign_in|Sign in|సైన్ ఇన్|साइन इन|உள்நுழையுங்கள்|ಸೈನ್ ಇನ್|സൈൻ ഇൻ|সাইন ইন|साइन इन|સાઇન ઇન|ਸਾਇਨ ਇਨ|ସାଇନ୍ ଇନ୍|ছাইন ইন|سائن ان|प्रवेशः|साइन इन|साइन इन|ꯁꯥꯏꯟ ꯏꯟ|साइन इन|साइन इन|ᱥᱟᱭᱱ ᱤᱱ|سائن ان|سائن ان
4|sign_out|Sign out|సైన్ అవుట్|साइन आउट|வெளியேறுங்கள்|ಸೈನ್ ಔಟ್|സൈൻ ഔട്ട്|সাইন আউট|साइन आउट|સાઇન આઉટ|ਸਾਇਨ ਆਊਟ|ସାଇନ୍ ଆଉଟ୍|ছাইন আউট|سائن آؤٹ|निर्गमः|साइन आउट|साइन आउट|ꯁꯥꯏꯟ ꯑꯥꯎꯠ|साइन आउट|साइन आउट|ᱥᱟᱭᱱ ᱟᱣᱩᱴ|سائن آؤٹ|سائن آئوٽ
5|sign_in_with_google|Sign in with Google|||||||||||||||||||||
6|begin_japa|Begin Japa|జపం ప్రారంభించండి|जप शुरू करें|ஜபம் தொடங்குங்கள்|ಜಪ ಪ್ರಾರಂಭಿಸಿ|ജപം ആരംഭിക്കുക|জপ শুরু করুন|जप सुरू करा|જપ શરૂ કરો|ਜਪ ਸ਼ੁਰੂ ਕਰੋ|ଜପ ଆରମ୍ଭ କରନ୍ତୁ|জপ আৰম্ভ কৰক|جپ شروع کریں|जपं आरभत|जप सुरु गर्नुहोस्|जप सुरू करात|ꯖꯄ ꯁꯨꯔꯨ ꯇꯧꯌꯨ|जप सुरु खालाम|जप शुरू करो|ᱡᱚᱯ ᱮᱦᱚᱵ ᱠᱚᱨᱚ|جپ شروع کرو|جپ شروع ڪريو
7|cancel|Cancel|రద్దు|रद्द करें|ரத்து|ರದ್ದು|റദ്ദാക്കുക|বাতিল|रद्द|રદ કરો|ਰੱਦ ਕਰੋ|ବାତିଲ|বাতিল|منسوخ|रद्द|रद्द|रद्द|ꯔꯥꯗꯗꯥ|रद्द|रद्द|ᱨᱟᱫᱽ|منسوخ|رد
8|ok|OK|సరే|ठीक है|சரி|ಸರಿ|ശരി|ঠিক আছে|ठीक|ઠીક|ਠੀਕ|ଠିକ୍|ঠিক আছে|ٹھیک|सम्यक्|ठीक छ|ठीक|ꯊꯥꯏꯛ|ठिक|ठीक|ᱴᱷᱤᱠ|ٹھیک|ٺيڪ
9|donate|Donate|దానం చేయండి|दान करें|தானம் செய்யுங்கள்|ದಾನ ಮಾಡಿ|ദാനം ചെയ്യുക|দান করুন|दान करा|દાન કરો|ਦਾਨ ਕਰੋ|ଦାନ କରନ୍ତୁ|দান কৰক|عطیہ دیں|दानं कुरुत|दान गर्नुहोस्|दान करात|ꯗꯥꯅꯥ ꯇꯧꯌꯨ|दान खालाम|दान करो|ᱫᱟᱱ ᱠᱚᱨᱚ|عطیہ دیو|عطيو ڪريو
10|privacy_policy|Privacy Policy|గోప్యతా విధానం|गोपनीयता नीति|தனியுரிமைக் கொள்கை|ಗೌಪ್ಯತಾ ನೀತಿ|സ്വകാര്യതാ നയം|গোপনীয়তা নীতি|गोपनीयता धोरण|ગોપનીયતા નીતિ|ਗੋਪਨੀਯਤਾ ਨੀਤੀ|ଗୋପନୀୟତା ନୀତି|গোপনীয়তা নীতি|رازداری کی پالیسی|गोपनीयतानीतिः|गोपनीयता नीति|गोपनीयता धोरण|ꯒꯣꯄꯅꯤꯌꯥꯇꯥ ꯅꯤꯇꯤ|गोपनीयता नीति|गोपनीयता नीति|ᱜᱚᱯᱱᱤᱭᱚᱛᱟ ᱱᱤᱛᱤ|رازداری پالیسی|رازداري پاليسي
